id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
107817717,2022/03/02 12:13 PM EST,2022-03-02,2022-03-02 17:13:00 UTC,Eastern Time (US & Canada),1994507,gary-james,Gary James,2022-03-03 11:55:52 UTC,2022-03-04 03:19:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107817717,https://inaturalist-open-data.s3.amazonaws.com/photos/181411726/medium.jpg,,"",,4,0,false,,"Toronto, ON, Canada",43.7076650107,-79.2287158566,1174,,,,1174,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107821700,2022/03/02 5:10 PM EST,2022-03-02,2022-03-02 22:10:00 UTC,Eastern Time (US & Canada),5158703,sfreeman7,,2022-03-03 13:51:56 UTC,2022-03-11 14:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107821700,https://inaturalist-open-data.s3.amazonaws.com/photos/181419913/medium.jpeg,,"",,2,0,false,,"Rockcliffe - Smythe, Toronto, ON, Canada",43.6666954332,-79.514119624,122,,,,122,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107822422,2022/03/02 5:05 PM EST,2022-03-02,2022-03-02 22:05:00 UTC,Eastern Time (US & Canada),5158703,sfreeman7,,2022-03-03 14:06:45 UTC,2022-03-11 14:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107822422,https://inaturalist-open-data.s3.amazonaws.com/photos/181421437/medium.jpeg,,"",,1,0,false,,"Rockcliffe - Smythe, Toronto, ON, Canada",43.6666954332,-79.514119624,122,,,,122,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107846473,2022/03/03,2022-03-03,,Eastern Time (US & Canada),1156638,alankwok,"Alan Kwok (King Lun), Ada Tai (Ah Heung)",2022-03-03 21:16:14 UTC,2022-03-04 23:44:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107846473,https://inaturalist-open-data.s3.amazonaws.com/photos/181463227/medium.jpeg,,"",,2,0,false,,West Highland Creek 02,43.7605585908,-79.2584241114,3281,,,,3281,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107847358,2022/03/03,2022-03-03,,Eastern Time (US & Canada),1156638,alankwok,"Alan Kwok (King Lun), Ada Tai (Ah Heung)",2022-03-03 21:33:21 UTC,2022-03-05 08:57:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107847358,https://inaturalist-open-data.s3.amazonaws.com/photos/181464717/medium.jpeg,,"",,3,0,false,,West Highland Creek 02,43.7605585908,-79.2584241114,3281,,,,3281,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107919972,2022/03/01 9:59 AM EST,2022-03-01,2022-03-01 14:59:00 UTC,Eastern Time (US & Canada),3948598,tatiana-s,Tatiana Svidskaia,2022-03-05 00:39:39 UTC,2022-04-02 11:24:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107919972,https://inaturalist-open-data.s3.amazonaws.com/photos/181600503/medium.jpg,,"",,5,0,false,,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61,,,,61,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107920581,2022/03/04 5:11 PM EST,2022-03-04,2022-03-04 22:11:00 UTC,Eastern Time (US & Canada),3948598,tatiana-s,Tatiana Svidskaia,2022-03-05 00:49:53 UTC,2022-04-02 11:24:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107920581,https://inaturalist-open-data.s3.amazonaws.com/photos/181601497/medium.jpg,,"",,6,0,false,,"Bayview Village, Toronto, ON, Canada",43.7815481504,-79.376231309,61,,,,61,,open,false,,,Toronto,Bernache du Canada,Branta canadensis,Canada Goose,Aves,7089
107962215,2022/03/04 6:04 PM EST,2022-03-04,2022-03-04 23:04:00 UTC,Eastern Time (US & Canada),5158703,sfreeman7,,2022-03-05 18:14:58 UTC,2022-03-11 14:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107962215,https://inaturalist-open-data.s3.amazonaws.com/photos/181678133/medium.jpeg,,"",,4,0,false,,"Rockcliffe - Smythe, Toronto, ON, Canada",43.6666954332,-79.514119624,122,,,,122,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107979923,2022/03/04 10:07 AM EST,2022-03-04,2022-03-04 15:07:00 UTC,Eastern Time (US & Canada),2701759,jsun789789,Jeff,2022-03-05 22:13:19 UTC,2022-03-06 00:48:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107979923,https://inaturalist-open-data.s3.amazonaws.com/photos/181710078/medium.jpg,,"",About 20 of them.,2,0,false,,"Downsview, Toronto, ON, Canada",43.742300675,-79.4801300637,523,,,,523,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
108042524,2022-03-06 13:30:11,2022-03-06,2022-03-06 18:30:11 UTC,Eastern Time (US & Canada),5104290,iqcreaturehero786,Ishaaq Hussain,2022-03-06 18:33:51 UTC,2022-12-28 21:38:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/108042524,https://inaturalist-open-data.s3.amazonaws.com/photos/181830896/medium.jpeg,,"",,2,0,false,2,"John Garland Blvd at Mosque Cres, Toronto, ON M9V 1N7, Canada",43.7315304997,-79.5930575,,,,,,,open,false,gps,gps,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
